stat	latmin	latmax	lonmin	lonmax
001	-34	-33	173.046667	175
002	-35.188196	-34	172.76462	175
003	-36.033664	-34.983333	173.6	175.4
004	-36.033333	-34.983333	175.4	177.016666
005	-36.470022	-36.033333	174.263423	175.522476
006	-36.731	-36.277684	174.690402	175.458475
007	-37.418782	-36.277684	174.540504	175.659387
008	-36.983333	-36.033333	175.346759	177.016666
009	-38.383333	-36.983333	175.659387	177.016666
009H	-37.779056	-37.418782	175.659387	176.302483
010	-38.383333	-36.983333	177.016666	178.013024
011	-37.683333	-36.983333	177.983333	180
012	-38.383333	-37.683333	178.013024	180
013	-39.502353	-38.383333	176.640544	179
014	-40.916666	-39.483333	175.593194	178
015	-41.733333	-40.916666	175.266666	177
016	-41.733333	-40.913022	174.465315	175.266666
017	-41.744641	-40.692795	173.597835	174.833333
018	-42.883333	-41.733333	173.008895	174.833333
019	-42.883333	-41.733333	174.833333	176
020	-43.733333	-42.883333	172.5	174.833333
021	-43.733333	-42.883333	174.833333	176
022	-45.083333	-43.664661	170.899998	174
023	-45.083333	-43.733333	174	176
024	-46.05	-45.083333	169.917472	173
025	-47.016666	-46.05	167.86808	169
026	-47.016666	-46.05	169	171
027	-48.016666	-47.016666	167.466666	170
028	-49	-48.016666	166	168
029	-48.016666	-47.1	166	167.86808
030	-47.1	-45.894587	165	167.86808
031	-46.016666	-44.983333	165	167.86808
032	-45.012228	-44.016666	166	168.395
033	-44.10342	-43.112376	167	170.539176
034	-43.116666	-41.75	169	172.006395
035	-41.791973	-40.783333	170	172.523097
036	-40.783333	-39.066666	171	172.683333
037	-40.692795	-39.933333	172.683333	174.970804
038	-41.733333	-40.511673	172.523097	173.95975
039	-41.153404	-39.933333	173.95584	175.593194
040	-39.933333	-39.066666	172.683333	175.003247
041	-39.066667	-37.889499	173	175.003247
042	-37.966667	-37.033333	173	175.003247
043	-37.280187	-36.913177	174.493	175.003247
044	-36.74959	-35.834644	173.670308	174.540504
045	-37.033333	-36.083333	172	174.540504
046	-36.083333	-35.166667	172	173.89
047	-35.188196	-34	170	173.409226
048	-34	-33	170	173.046667
049	-43.9	-43	182	183.5167
050	-43.933333	-43	183.5167	185
051	-45	-43.933333	183.467	185
052	-45	-43.9	182	183.5167
091	-30	-26.040244	177.651826	181
092	-30	-25.901654	181	185.979062
093	-34.680138	-30	181	185.882993
094	-34.676968	-30	177.281838	181
101	-38.102215	-37.033333	169.636658	173
102	-37.033333	-35.166666	168.176838	172
103	-35.166666	-31.627607	168.00583	170
104	-33	-30.807487	170	173.046667
105	-33	-30.884658	173.046667	175
106	-34.983333	-31.512243	175	177.983333
107	-36.983333	-34.983333	177.016666	177.983333
201	-36.983333	-33.462008	177.983333	182.666638
202	-38.383333	-36.983333	180	182.790874
203	-39.483333	-38.383333	179	182.712714
204	-40.5	-39.483333	178	184.937799
205	-42.166667	-40.5	176	182
206	-42.166667	-40.5	182	188.015493
301	-46	-45.083333	173	176
302	-47.016666	-46	171	176
303	-48.316667	-47.016666	170	173.593647
401	-43.733333	-42.166667	176	177.5
402	-43.733333	-42.166667	177.5	179
403	-43.733333	-42.166667	179	180.5
404	-43.733333	-42.166667	180.5	182
405	-43	-42.166667	182	185
406	-43.933333	-42.166667	185	188.819097
407	-46	-43.733333	176	177.5
408	-46	-43.733333	177.5	179
409	-46	-43.733333	179	180.5
410	-46	-43.733333	180.5	182
411	-46	-45	182	185
412	-46	-43.933333	185	188.820715
501	-45.5	-44.26	161.666979	166
502	-47.1	-45.5	161.623057	165
503	-49	-47.1	161.438455	166
504	-49	-47.757427	168	170.516667
601	-52	-49	160.615752	165
602	-52	-49	165	168
603	-51	-48.549451	168	170
604	-49	-47.68997	170	172
605	-49	-46.844985	172	174
606	-49	-46	174	176
607	-49	-46	176	179
608	-49	-46	179	182
609	-49	-46	182	188.221982
610	-51	-49	170	172
611	-51	-49	172	174
612	-51	-49	174	176
613	-51	-49	176	179
614	-51	-49	179	182
615	-51	-49	182	183.978797
616	-53.5	-52	161.760467	165
617	-53.5	-52	165	168
618	-53.5	-51	168	171
619	-53.5	-51	171	174
620	-53.5	-51	174	176
621	-53.058751	-51	176	179
622	-53.053877	-51	179	183.629898
623	-55.886479	-53.5	163.799206	168
624	-55.953207	-53.5	168	171
625	-55.773099	-53.5	171	174.610007
701	-39.066667	-37.593333	169	172.218973
702	-40.783333	-38.566075	167.069529	169
703	-40.783333	-39.066666	169	171
704	-41.75	-40.783333	165.041003	170
705	-43.116666	-41.75	163.281925	169
706	-44.26	-43.116666	162.215951	167
801	-39.066667	-37.593333	170.095	173
